 teamName = 레버쿠젠 rank = 1 win = 20 draw = 15 lose = 10 gain = 66 lost = 50 diff = 16 gameNumber = 45
 teamName = 함부르크 rank = 2 win = 20 draw = 13 lose = 12 gain = 70 lost = 54 diff = 16 gameNumber = 45
 teamName = 뒤셀도르트 rank = 3 win = 19 draw = 15 lose = 11 gain = 58 lost = 42 diff = 16 gameNumber = 45
 teamName = 우니온 베를린 rank = 4 win = 18 draw = 13 lose = 14 gain = 60 lost = 52 diff = 8 gameNumber = 45
 teamName = 쾰른 rank = 5 win = 19 draw = 10 lose = 16 gain = 59 lost = 63 diff = -4 gameNumber = 45
 teamName = 호펜하임 rank = 6 win = 17 draw = 14 lose = 14 gain = 52 lost = 45 diff = 7 gameNumber = 45
 teamName = 묀헨글라트바흐 rank = 7 win = 19 draw = 7 lose = 19 gain = 51 lost = 63 diff = -12 gameNumber = 45
 teamName = 볼프스부르크 rank = 8 win = 16 draw = 15 lose = 14 gain = 60 lost = 54 diff = 6 gameNumber = 45
 teamName = 아우크스부르크 rank = 9 win = 16 draw = 14 lose = 15 gain = 62 lost = 67 diff = -5 gameNumber = 45
 teamName = 마인츠 rank = 10 win = 17 draw = 10 lose = 18 gain = 69 lost = 62 diff = 7 gameNumber = 45
 teamName = 에센 rank = 11 win = 15 draw = 15 lose = 15 gain = 59 lost = 57 diff = 2 gameNumber = 45
 teamName = 바이에른 뮌헨 rank = 12 win = 14 draw = 11 lose = 20 gain = 49 lost = 54 diff = -5 gameNumber = 45
 teamName = 프랑크부르크 rank = 13 win = 12 draw = 17 lose = 16 gain = 44 lost = 56 diff = -12 gameNumber = 45
 teamName = 도르트문트 rank = 14 win = 13 draw = 12 lose = 20 gain = 57 lost = 63 diff = -6 gameNumber = 45
 teamName = 라이프치히 rank = 15 win = 12 draw = 12 lose = 21 gain = 57 lost = 68 diff = -11 gameNumber = 45
 teamName = 슈투트가르트 rank = 16 win = 10 draw = 13 lose = 22 gain = 36 lost = 59 diff = -23 gameNumber = 45
 teamName = 파리 생제르맹 rank = 1 win = 4 draw = 1 lose = 2 gain = 13 lost = 7 diff = 6
 teamName = 아틀레티코 마드리드 rank = 2 win = 3 draw = 2 lose = 2 gain = 7 lost = 5 diff = 2
 teamName = 바르셀로나 rank = 4 win = 4 draw = 1 lose = 1 gain = 7 lost = 5 diff = 2
 teamName = 리버풀 rank = 4 win = 2 draw = 3 lose = 1 gain = 8 lost = 6 diff = 2
 teamName = 바이에른 뮌헨 rank = 8 win = 3 draw = 0 lose = 1 gain = 5 lost = 3 diff = 2
 teamName = 도르트문트 rank = 8 win = 3 draw = 0 lose = 1 gain = 6 lost = 2 diff = 4
 teamName = 맨체스터 시티 rank = 8 win = 1 draw = 1 lose = 2 gain = 3 lost = 4 diff = -1
 teamName = 첼시 rank = 8 win = 1 draw = 1 lose = 2 gain = 6 lost = 5 diff = 1
 teamName = 프랑크부르크 rank = 16 win = 0 draw = 1 lose = 1 gain = 2 lost = 3 diff = -1
 teamName = 라이프치히 rank = 16 win = 0 draw = 1 lose = 1 gain = 2 lost = 6 diff = -4
 teamName = 레알 마드리드 rank = 16 win = 0 draw = 1 lose = 1 gain = 1 lost = 2 diff = -1
 teamName = 세비야 rank = 16 win = 0 draw = 0 lose = 2 gain = 1 lost = 3 diff = -2
 teamName = 맨체스터 유나이티드 rank = 16 win = 1 draw = 0 lose = 1 gain = 2 lost = 5 diff = -3
 teamName = 나폴리 rank = 16 win = 0 draw = 1 lose = 1 gain = 2 lost = 3 diff = -1
 teamName = 밀란 rank = 16 win = 0 draw = 1 lose = 1 gain = 0 lost = 2 diff = -2
 teamName = 유벤투스 rank = 16 win = 0 draw = 0 lose = 2 gain = 0 lost = 4 diff = -4
 teamName = 레버쿠젠 rank = 1 win = 20 draw = 15 lose = 10 gain = 66 lost = 50 diff = 16 gameNumber = 45
 teamName = 함부르크 rank = 2 win = 20 draw = 13 lose = 12 gain = 70 lost = 54 diff = 16 gameNumber = 45
 teamName = 뒤셀도르트 rank = 3 win = 19 draw = 15 lose = 11 gain = 58 lost = 42 diff = 16 gameNumber = 45
 teamName = 우니온 베를린 rank = 4 win = 18 draw = 13 lose = 14 gain = 60 lost = 52 diff = 8 gameNumber = 45
 teamName = 쾰른 rank = 5 win = 19 draw = 10 lose = 16 gain = 59 lost = 63 diff = -4 gameNumber = 45
 teamName = 호펜하임 rank = 6 win = 17 draw = 14 lose = 14 gain = 52 lost = 45 diff = 7 gameNumber = 45
 teamName = 묀헨글라트바흐 rank = 7 win = 19 draw = 7 lose = 19 gain = 51 lost = 63 diff = -12 gameNumber = 45
 teamName = 볼프스부르크 rank = 8 win = 16 draw = 15 lose = 14 gain = 60 lost = 54 diff = 6 gameNumber = 45
 teamName = 아우크스부르크 rank = 9 win = 16 draw = 14 lose = 15 gain = 62 lost = 67 diff = -5 gameNumber = 45
 teamName = 마인츠 rank = 10 win = 17 draw = 10 lose = 18 gain = 69 lost = 62 diff = 7 gameNumber = 45
 teamName = 에센 rank = 11 win = 15 draw = 15 lose = 15 gain = 59 lost = 57 diff = 2 gameNumber = 45
 teamName = 바이에른 뮌헨 rank = 12 win = 14 draw = 11 lose = 20 gain = 49 lost = 54 diff = -5 gameNumber = 45
 teamName = 프랑크부르크 rank = 13 win = 12 draw = 17 lose = 16 gain = 44 lost = 56 diff = -12 gameNumber = 45
 teamName = 도르트문트 rank = 14 win = 13 draw = 12 lose = 20 gain = 57 lost = 63 diff = -6 gameNumber = 45
 teamName = 라이프치히 rank = 15 win = 12 draw = 12 lose = 21 gain = 57 lost = 68 diff = -11 gameNumber = 45
 teamName = 슈투트가르트 rank = 16 win = 10 draw = 13 lose = 22 gain = 36 lost = 59 diff = -23 gameNumber = 45
 teamName = 파리 생제르맹 rank = 1 win = 4 draw = 1 lose = 2 gain = 13 lost = 7 diff = 6
 teamName = 아틀레티코 마드리드 rank = 2 win = 3 draw = 2 lose = 2 gain = 7 lost = 5 diff = 2
 teamName = 바르셀로나 rank = 4 win = 4 draw = 1 lose = 1 gain = 7 lost = 5 diff = 2
 teamName = 리버풀 rank = 4 win = 2 draw = 3 lose = 1 gain = 8 lost = 6 diff = 2
 teamName = 바이에른 뮌헨 rank = 8 win = 3 draw = 0 lose = 1 gain = 5 lost = 3 diff = 2
 teamName = 도르트문트 rank = 8 win = 3 draw = 0 lose = 1 gain = 6 lost = 2 diff = 4
 teamName = 맨체스터 시티 rank = 8 win = 1 draw = 1 lose = 2 gain = 3 lost = 4 diff = -1
 teamName = 첼시 rank = 8 win = 1 draw = 1 lose = 2 gain = 6 lost = 5 diff = 1
 teamName = 프랑크부르크 rank = 16 win = 0 draw = 1 lose = 1 gain = 2 lost = 3 diff = -1
 teamName = 라이프치히 rank = 16 win = 0 draw = 1 lose = 1 gain = 2 lost = 6 diff = -4
 teamName = 레알 마드리드 rank = 16 win = 0 draw = 1 lose = 1 gain = 1 lost = 2 diff = -1
 teamName = 세비야 rank = 16 win = 0 draw = 0 lose = 2 gain = 1 lost = 3 diff = -2
 teamName = 맨체스터 유나이티드 rank = 16 win = 1 draw = 0 lose = 1 gain = 2 lost = 5 diff = -3
 teamName = 나폴리 rank = 16 win = 0 draw = 1 lose = 1 gain = 2 lost = 3 diff = -1
 teamName = 밀란 rank = 16 win = 0 draw = 1 lose = 1 gain = 0 lost = 2 diff = -2
 teamName = 유벤투스 rank = 16 win = 0 draw = 0 lose = 2 gain = 0 lost = 4 diff = -4
teams = TeamTotalInfoResponse(win=17, draw=11, lose=66, gain=54, lost=57, diff=-3)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=3, assist=7, pass=6, shooting=6, validShooting=5, foul=0, defense=29, win=17, draw=11, lose=21, isBest=0, avgGrade=0.0, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=11, assist=0, pass=500, shooting=13, validShooting=13, foul=267, defense=192, win=17, draw=11, lose=21, isBest=0, avgGrade=14.96, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=5, assist=0, pass=540, shooting=11, validShooting=8, foul=175, defense=227, win=17, draw=11, lose=21, isBest=3, avgGrade=13.59, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=30, assist=3, pass=513, shooting=259, validShooting=68, foul=216, defense=202, win=17, draw=11, lose=21, isBest=39, avgGrade=64.1, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=5, pass=768, shooting=2, validShooting=2, foul=25, defense=1030, win=17, draw=11, lose=21, isBest=3, avgGrade=24.08, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=664, shooting=3, validShooting=0, foul=29, defense=979, win=17, draw=11, lose=21, isBest=2, avgGrade=21.84, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=1, assist=7, pass=736, shooting=6, validShooting=2, foul=60, defense=925, win=17, draw=11, lose=21, isBest=4, avgGrade=23.63, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=1, assist=0, pass=745, shooting=5, validShooting=2, foul=47, defense=892, win=17, draw=11, lose=21, isBest=0, avgGrade=22.02, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=1, assist=2, pass=891, shooting=16, validShooting=4, foul=52, defense=683, win=17, draw=11, lose=21, isBest=0, avgGrade=16.98, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=4, assist=5, pass=990, shooting=11, validShooting=7, foul=250, defense=511, win=17, draw=11, lose=21, isBest=0, avgGrade=16.12, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=6, assist=2, pass=959, shooting=15, validShooting=13, foul=82, defense=621, win=17, draw=11, lose=21, isBest=0, avgGrade=18.1, gameNumber=49)
teams = TeamTotalInfoResponse(win=16, draw=12, lose=66, gain=63, lost=65, diff=-2)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=6, pass=7, shooting=3, validShooting=0, foul=0, defense=30, win=16, draw=12, lose=21, isBest=0, avgGrade=0.0, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=5, assist=3, pass=507, shooting=13, validShooting=9, foul=215, defense=220, win=16, draw=12, lose=21, isBest=0, avgGrade=13.8, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=12, assist=1, pass=536, shooting=20, validShooting=16, foul=316, defense=194, win=16, draw=12, lose=21, isBest=1, avgGrade=17.43, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=6, assist=1, pass=464, shooting=14, validShooting=10, foul=276, defense=170, win=16, draw=12, lose=21, isBest=0, avgGrade=13.08, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=2, assist=1, pass=694, shooting=5, validShooting=2, foul=66, defense=816, win=16, draw=12, lose=21, isBest=2, avgGrade=20.51, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=1, assist=3, pass=748, shooting=5, validShooting=2, foul=45, defense=900, win=16, draw=12, lose=21, isBest=2, avgGrade=22.43, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=2, assist=5, pass=849, shooting=4, validShooting=2, foul=49, defense=751, win=16, draw=12, lose=21, isBest=3, avgGrade=19.02, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=1, assist=2, pass=1008, shooting=4, validShooting=3, foul=34, defense=1010, win=16, draw=12, lose=21, isBest=4, avgGrade=25.67, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=7, assist=10, pass=972, shooting=15, validShooting=9, foul=89, defense=665, win=16, draw=12, lose=21, isBest=1, avgGrade=19.14, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=4, assist=1, pass=998, shooting=11, validShooting=8, foul=172, defense=541, win=16, draw=12, lose=21, isBest=1, avgGrade=16.31, gameNumber=49)
playerInfo = PlayerTotalInfoResponse(goal=32, assist=3, pass=826, shooting=251, validShooting=74, foul=102, defense=597, win=16, draw=12, lose=21, isBest=37, avgGrade=50.59, gameNumber=49)
teams = TeamTotalInfoResponse(win=20, draw=15, lose=57, gain=66, lost=50, diff=16)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=1, assist=6, pass=3, shooting=4, validShooting=1, foul=0, defense=37, win=20, draw=15, lose=10, isBest=0, avgGrade=0.0, gameNumber=45)
playerInfo = PlayerTotalInfoResponse(goal=0, assist=0, pass=0, shooting=0, validShooting=0, foul=0, defense=0, win=0, draw=0, lose=0, isBest=0, avgGrade=0.0, gameNumber=0)
playerInfo = PlayerTotalInfoResponse(goal=5, assist=0, pass=454, shooting=14, validShooting=7, foul=159, defense=197, win=20, draw=15, lose=10, isBest=0, avgGrade=13.33, gameNumber=45)
playerInfo = PlayerTotalInfoResponse(goal=8, assist=2, pass=555, shooting=14, validShooting=11, foul=238, defense=161, win=20, draw=15, lose=10, isBest=0, avgGrade=16.36, gameNumber=45)
playerInfo = PlayerTotalInfoResponse(goal=35, assist=2, pass=468, shooting=253, validShooting=76, foul=141, defense=175, win=20, draw=15, lose=10, isBest=39, avgGrade=70.93, gameNumber=45)
playerInfo = PlayerTotalInfoResponse(goal=1, assist=2, pass=931, shooting=2, validShooting=2, foul=42, defense=719, win=20, draw=15, lose=10, isBest=1, avgGrade=18.71, gameNumber=45)
