텔레 산타나
칼 라판
유프 하인케스
루이 반 할
보리스 아르카디예프
마리우 자갈루
펠리페 스콜라리
거스 히딩크
휴고 마이슬
카를로 안첼로티
헤네스 바이스바일러
알베르 베튜
오스발도 주벨디아
에메 자케
로베르토 스카로네
로베르토 마르티네즈
돈 레비
바비 롭슨
아르센 벵거
오토 레하겔
지미 호건
네레오 로코
구스타브 세베슈
조크 스타인
요한 크루이프
파비오 카펠로
우도 라텍
펩 과르디올라
벨라 구트만
헐버트 채프먼
비센테 델 보스케
주제 무리뉴
미구엘 무뇨즈
빅토르 마슬로프
레이몽 후탈스
지오반니 트라파토니
미구엘 무뇨즈
오트마어 히츠펠트
맷 버스비
헬무트 쇤
브라이언 클러프
빌 샹클리
제프 헤어베르거
발레리 로바노프스키
발레리 카핀
마르첼로 리피
엘레니오 에레라
아리고 사키
밥 페이즐리
리누스 미헬스
에른스트 하펠
알렉스 퍼거슨
홍명보
토마스 투헬
한지 플릭
위르겐 클롭
안토니오 콘테
디에고 시메오네
포체티노
피터 보츠
레오나르도 자르딤
조제 무리뉴
막시밀리아노 알레그리
율리안 나겔스만
프랑코 포다
비토리오 포초
